record,side,k,N,cell,eps_median,eps_lo,eps_hi,clears,ref,rep_clear_rate
claude_90b6161d,model,4,1401,C0_observed,0.051533576327293766,0.051533576327293766,0.051533576327293766,True,0.004739236870989655,
claude_90b6161d,model,4,1401,C1_compat_nonadj,0.0024390658948309518,-0.0017915784387197908,0.008838091728305294,,0.004739236870989655,0.2
claude_90b6161d,model,4,1401,C2_lengthA,0.0008781931092805239,-0.0033522550613239344,0.007157488685513554,,0.004739236870989655,0.09
claude_90b6161d,model,4,1401,C3_dissimB,0.0009999776048551902,-0.0035082968807436184,0.006963192467254614,,0.004739236870989655,0.14
claude_90b6161d,user,4,1401,C0_observed,0.10513801328962831,0.10513801328962831,0.10513801328962831,True,0.005949066373893964,
claude_90b6161d,user,4,1401,C1_compat_nonadj,0.00341755849630376,-0.00226136224109711,0.009407052144256287,,0.005949066373893964,0.25
claude_90b6161d,user,4,1401,C2_lengthA,0.015720021546843262,0.009567099326200725,0.024809452703973722,,0.005949066373893964,0.99
claude_90b6161d,user,4,1401,C3_dissimB,0.01469434372608647,0.009074196413014227,0.02391455277535553,,0.005949066373893964,1.0
claude_3df4ba21,model,4,789,C0_observed,0.12804603896323663,0.12804603896323663,0.12804603896323663,True,0.012095034078887994,
claude_3df4ba21,model,4,789,C1_compat_nonadj,0.013377651704500226,0.0017434691638402203,0.026637787699162117,,0.012095034078887994,0.59
claude_3df4ba21,model,4,789,C2_lengthA,0.005599710270267121,-0.007008893117491299,0.018120572961560354,,0.012095034078887994,0.06
claude_3df4ba21,model,4,789,C3_dissimB,0.005087768840096461,-0.00658740432511036,0.015902770098261788,,0.012095034078887994,0.15
claude_3df4ba21,user,4,789,C0_observed,0.0652626478099947,0.0652626478099947,0.0652626478099947,True,0.015387418121519206,
claude_3df4ba21,user,4,789,C1_compat_nonadj,0.006852337764378918,-0.0009971994374565825,0.01880259565224965,,0.015387418121519206,0.1
claude_3df4ba21,user,4,789,C2_lengthA,0.035944422744678045,0.02416178354953058,0.048472276026658066,,0.015387418121519206,1.0
claude_3df4ba21,user,4,789,C3_dissimB,0.025804378535827545,0.015069355959602538,0.03705316405184217,,0.015387418121519206,0.94
claude_9c24efbd,model,4,762,C0_observed,0.09608478500398901,0.09608478500398901,0.09608478500398901,True,0.014244942978816899,
claude_9c24efbd,model,4,762,C1_compat_nonadj,0.01954976036155115,0.008355124914852569,0.033182200876217496,,0.014244942978816899,0.83
claude_9c24efbd,model,4,762,C2_lengthA,0.010855205933787766,-4.0528139239347715e-05,0.026085679509215632,,0.014244942978816899,0.38
claude_9c24efbd,model,4,762,C3_dissimB,0.013750519188774669,2.814679475633085e-05,0.02808122638468253,,0.014244942978816899,0.45
claude_9c24efbd,user,4,762,C0_observed,0.18044742501326197,0.18044742501326197,0.18044742501326197,True,0.018484582058455105,
claude_9c24efbd,user,4,762,C1_compat_nonadj,0.015478220200502362,0.0029411508529257847,0.03223592060177786,,0.018484582058455105,0.31
claude_9c24efbd,user,4,762,C2_lengthA,0.030511359330734223,0.0214479749334779,0.044570146809193315,,0.018484582058455105,1.0
claude_9c24efbd,user,4,762,C3_dissimB,0.02753983748437597,0.013851873418268344,0.042522728887013035,,0.018484582058455105,0.87
